id,embarked_QorS,pclass_2nd,pclass_3rd,sex_male
3,1,0,0,0
4,1,0,1,1
7,1,0,1,1
9,0,1,0,0
11,1,0,0,0
13,1,0,1,1
16,1,0,1,1
19,0,0,1,0
23,1,0,0,1
24,1,0,1,0
25,1,0,1,0
26,0,0,1,1
28,1,0,1,0
29,1,0,1,1
32,1,0,1,0
33,1,1,0,1
36,0,0,1,1
41,1,1,0,0
42,0,0,1,1
43,0,1,0,0
44,1,0,1,0
47,1,0,1,0
53,1,1,0,0
56,1,1,0,0
57,0,0,1,1
58,1,1,0,0
59,1,0,1,1
61,1,0,0,0
63,1,0,1,1
67,1,0,1,1
69,1,0,1,1
70,1,1,0,1
72,1,1,0,1
73,0,0,1,1
80,1,0,1,1
82,1,0,1,0
83,1,0,0,1
84,1,1,0,0
86,1,0,1,1
87,1,0,1,1
88,1,0,0,0
91,1,0,1,1
93,1,0,1,1
94,1,0,1,1
95,1,0,1,1
98,1,1,0,0
99,1,1,0,1
106,1,0,1,0
110,1,0,0,1
111,0,0,1,0
112,1,0,1,1
114,0,0,1,0
115,1,0,1,1
117,1,1,0,1
119,1,0,1,0
120,1,1,0,1
121,1,0,1,1
123,1,1,0,0
125,0,0,1,1
126,1,0,1,1
128,0,0,1,0
129,1,0,1,1
130,0,0,1,1
131,1,0,1,1
134,1,1,0,1
135,0,1,0,1
136,1,0,0,0
137,1,0,0,1
138,1,0,1,1
139,0,0,0,1
143,1,0,1,1
146,1,0,1,1
147,1,0,1,0
148,1,1,0,1
149,1,1,0,1
151,1,0,0,0
152,1,0,1,1
153,1,0,1,1
160,1,0,1,1
163,1,0,1,1
164,1,0,1,1
166,1,0,0,0
168,1,0,0,1
169,1,0,1,1
174,0,0,0,1
176,1,0,1,1
177,0,0,0,0
180,1,0,1,0
182,1,0,1,1
183,1,1,0,1
184,1,0,1,0
186,1,0,1,0
189,1,0,1,1
191,1,1,0,1
192,1,0,1,0
195,0,0,0,0
197,1,0,1,1
199,1,1,0,0
201,1,0,1,1
203,0,0,1,1
207,0,0,1,1
209,0,0,0,1
212,1,0,1,1
213,1,1,0,1
216,1,0,1,0
217,1,1,0,1
219,1,1,0,1
221,1,1,0,1
224,1,0,0,1
225,1,0,1,1
226,1,1,0,1
227,1,0,1,1
228,1,1,0,1
232,1,1,0,1
234,1,1,0,1
237,1,1,0,0
244,0,0,1,1
246,1,0,1,0
248,1,0,0,1
254,1,0,1,0
256,0,0,0,0
257,1,0,0,0
259,1,1,0,0
260,1,0,1,1
265,1,1,0,1
269,1,0,0,0
273,0,0,0,1
274,1,0,1,0
275,1,0,0,0
276,1,0,1,0
277,1,1,0,1
280,1,0,1,1
281,1,0,1,1
282,1,0,1,1
284,1,0,0,1
286,1,0,1,1
287,1,0,1,1
288,1,1,0,1
289,1,0,1,0
290,1,0,0,0
291,0,0,0,0
292,0,1,0,1
295,0,0,0,1
296,0,0,1,1
297,1,0,0,0
300,1,0,1,0
305,1,0,0,1
307,0,0,0,0
314,1,1,0,1
321,1,0,1,1
322,1,1,0,0
323,1,1,0,0
324,1,0,1,1
325,0,0,0,0
326,1,0,1,1
328,1,0,1,0
329,0,0,0,0
330,1,0,1,0
332,1,0,0,1
335,1,0,1,1
336,1,0,0,1
339,1,0,0,1
340,1,1,0,1
341,1,0,0,0
343,1,1,0,1
347,1,0,1,0
348,1,0,1,1
349,1,0,1,1
353,1,0,1,1
355,1,0,1,1
357,1,1,0,0
359,1,0,1,0
360,1,0,1,1
365,1,0,1,1
368,1,0,1,0
369,0,0,0,0
370,0,0,0,1
371,1,0,1,1
373,0,0,0,1
376,1,0,1,0
377,0,0,0,1
381,0,0,1,0
383,1,0,0,0
385,1,1,0,1
387,1,1,0,0
388,1,0,1,1
393,0,0,0,0
394,1,0,1,0
396,1,0,1,0
398,1,1,0,1
400,1,0,1,1
404,1,0,1,0
405,1,1,0,1
407,1,1,0,1
410,1,0,1,1
411,1,0,1,1
414,1,0,1,1
415,1,0,1,0
417,1,1,0,0
419,1,0,1,0
421,1,0,1,1
423,1,0,1,0
426,1,1,0,0
427,1,1,0,0
429,1,0,1,1
430,1,0,0,1
431,1,0,1,0
433,1,0,1,1
435,1,0,0,0
437,1,1,0,0
438,1,0,0,1
442,1,0,1,1
444,1,0,1,1
445,1,0,0,1
446,1,1,0,0
448,0,0,1,0
449,1,0,0,1
450,1,1,0,1
454,1,0,1,1
455,0,0,1,1
459,1,0,1,1
461,1,0,1,1
463,1,1,0,1
