id,isna_age,iszero_fare
3,False,False
4,False,False
7,False,False
9,False,False
11,False,False
13,False,False
16,False,False
19,True,False
23,False,False
24,False,False
25,False,False
26,True,False
28,True,False
29,True,False
32,True,False
33,False,False
36,True,False
41,False,False
42,True,False
43,False,False
44,False,False
47,True,False
53,False,False
56,False,False
57,False,False
58,False,False
59,False,False
61,False,False
63,False,False
67,False,False
69,False,False
70,False,False
72,False,False
73,False,False
80,False,False
82,True,False
83,False,False
84,False,False
86,False,False
87,True,False
88,False,False
91,False,False
93,False,False
94,False,False
95,True,False
98,False,False
99,False,False
106,False,False
110,False,False
111,False,False
112,False,False
114,False,False
115,False,False
117,False,False
119,False,False
120,False,False
121,True,False
123,False,False
125,False,False
126,True,False
128,True,False
129,False,False
130,False,False
131,False,False
134,False,False
135,False,False
136,False,False
137,False,False
138,False,False
139,False,False
143,False,False
146,False,False
147,False,False
148,False,False
149,False,False
151,False,False
152,False,False
153,False,False
160,False,False
163,False,False
164,False,False
166,True,False
168,True,False
169,False,False
174,False,False
176,True,False
177,False,False
180,True,False
182,False,False
183,False,False
184,False,False
186,True,False
189,False,False
191,False,False
192,False,False
195,False,False
197,False,False
199,False,False
201,True,False
203,False,False
207,False,False
209,False,False
212,False,False
213,False,False
216,False,False
217,False,False
219,False,False
221,False,False
224,False,False
225,False,False
226,False,False
227,False,False
228,False,False
232,False,False
234,False,False
237,False,False
244,False,False
246,False,False
248,False,False
254,False,False
256,True,False
257,False,False
259,False,False
260,True,False
265,False,False
269,False,False
273,False,False
274,True,False
275,False,False
276,False,False
277,True,True
280,False,False
281,False,False
282,False,False
284,True,False
286,False,False
287,False,False
288,False,False
289,False,False
290,False,False
291,False,False
292,False,False
295,True,False
296,False,False
297,False,False
300,True,False
305,False,False
307,False,False
314,False,False
321,False,False
322,False,False
323,False,False
324,True,False
325,False,False
326,False,False
328,False,False
329,False,False
330,True,False
332,False,False
335,True,False
336,False,False
339,False,False
340,False,False
341,False,False
343,False,False
347,True,False
348,False,False
349,False,False
353,False,False
355,False,False
357,False,False
359,True,False
360,False,False
365,False,False
368,True,False
369,False,False
370,False,False
371,False,False
373,False,False
376,False,False
377,False,False
381,False,False
383,False,False
385,False,False
387,False,False
388,True,False
393,False,False
394,False,False
396,False,False
398,False,False
400,False,False
404,False,False
405,False,False
407,False,False
410,True,False
411,True,False
414,False,False
415,True,False
417,False,False
419,False,False
421,False,False
423,False,False
426,False,False
427,False,False
429,False,False
430,False,False
431,True,False
433,False,False
435,False,False
437,False,False
438,False,False
442,False,False
444,True,False
445,False,False
446,False,False
448,False,False
449,False,False
450,False,False
454,True,False
455,False,False
459,True,False
461,False,False
463,False,False
464,True,False
466,True,True
468,True,False
469,False,False
470,True,False
472,False,False
473,False,False
478,False,False
480,False,False
486,False,False
488,False,False
490,True,False
497,True,False
498,False,False
499,False,False
502,True,False
504,False,False
507,True,False
508,False,False
509,False,False
510,False,False
512,False,False
514,False,False
515,False,False
