id,embarked,pclass,sex
3,S,1st,female
4,S,3rd,male
7,S,3rd,male
9,C,2nd,female
11,S,1st,female
13,S,3rd,male
16,Q,3rd,male
19,C,3rd,female
23,S,1st,male
24,S,3rd,female
25,S,3rd,female
26,C,3rd,male
28,Q,3rd,female
29,S,3rd,male
32,Q,3rd,female
33,S,2nd,male
36,C,3rd,male
41,S,2nd,female
42,C,3rd,male
43,C,2nd,female
44,Q,3rd,female
47,Q,3rd,female
53,S,2nd,female
56,S,2nd,female
57,C,3rd,male
58,S,2nd,female
59,S,3rd,male
61,,1st,female
63,S,3rd,male
67,S,3rd,male
69,S,3rd,male
70,S,2nd,male
72,S,2nd,male
73,C,3rd,male
80,S,3rd,male
82,Q,3rd,female
83,S,1st,male
84,S,2nd,female
86,S,3rd,male
87,S,3rd,male
88,S,1st,female
91,S,3rd,male
93,S,3rd,male
94,S,3rd,male
95,S,3rd,male
98,S,2nd,female
99,S,2nd,male
106,S,3rd,female
110,S,1st,male
111,C,3rd,female
112,S,3rd,male
114,C,3rd,female
115,S,3rd,male
117,S,2nd,male
119,S,3rd,female
120,S,2nd,male
121,S,3rd,male
123,S,2nd,female
125,C,3rd,male
126,Q,3rd,male
128,C,3rd,female
129,S,3rd,male
130,C,3rd,male
131,S,3rd,male
134,S,2nd,male
135,C,2nd,male
136,S,1st,female
137,S,1st,male
138,S,3rd,male
139,C,1st,male
143,Q,3rd,male
146,S,3rd,male
147,S,3rd,female
148,S,2nd,male
149,S,2nd,male
151,S,1st,female
152,S,3rd,male
153,S,3rd,male
160,S,3rd,male
163,S,3rd,male
164,S,3rd,male
166,S,1st,female
168,S,1st,male
169,S,3rd,male
174,C,1st,male
176,S,3rd,male
177,C,1st,female
180,S,3rd,female
182,S,3rd,male
183,S,2nd,male
184,S,3rd,female
186,Q,3rd,female
189,S,3rd,male
191,S,2nd,male
192,S,3rd,female
195,C,1st,female
197,S,3rd,male
199,S,2nd,female
201,S,3rd,male
203,C,3rd,male
207,C,3rd,male
209,C,1st,male
212,S,3rd,male
213,S,2nd,male
216,S,3rd,female
217,S,2nd,male
219,S,2nd,male
221,S,2nd,male
224,S,1st,male
225,S,3rd,male
226,S,2nd,male
227,S,3rd,male
228,S,2nd,male
232,S,2nd,male
234,S,2nd,male
237,S,2nd,female
244,C,3rd,male
246,S,3rd,female
248,S,1st,male
254,S,3rd,female
256,C,1st,female
257,S,1st,female
259,S,2nd,female
260,Q,3rd,male
265,S,2nd,male
269,S,1st,female
273,C,1st,male
274,Q,3rd,female
275,S,1st,female
276,S,3rd,female
277,S,2nd,male
280,Q,3rd,male
281,S,3rd,male
282,S,3rd,male
284,S,1st,male
286,S,3rd,male
287,S,3rd,male
288,S,2nd,male
289,Q,3rd,female
290,S,1st,female
291,C,1st,female
292,C,2nd,male
295,C,1st,male
296,C,3rd,male
297,S,1st,female
300,Q,3rd,female
305,S,1st,male
307,C,1st,female
314,S,2nd,male
321,S,3rd,male
322,Q,2nd,female
323,S,2nd,female
324,S,3rd,male
325,C,1st,female
326,S,3rd,male
328,S,3rd,female
329,C,1st,female
330,Q,3rd,female
332,S,1st,male
335,S,3rd,male
336,S,1st,male
339,S,1st,male
340,S,2nd,male
341,S,1st,female
343,S,2nd,male
347,S,3rd,female
348,S,3rd,male
349,S,3rd,male
353,S,3rd,male
355,S,3rd,male
357,S,2nd,female
359,Q,3rd,female
360,S,3rd,male
365,S,3rd,male
368,Q,3rd,female
369,C,1st,female
370,C,1st,male
371,S,3rd,male
373,C,1st,male
376,S,3rd,female
377,C,1st,male
381,C,3rd,female
383,S,1st,female
385,S,2nd,male
387,S,2nd,female
388,Q,3rd,male
393,C,1st,female
394,S,3rd,female
396,S,3rd,female
398,S,2nd,male
400,S,3rd,male
404,S,3rd,female
405,S,2nd,male
407,S,2nd,male
410,S,3rd,male
411,Q,3rd,male
414,S,3rd,male
415,S,3rd,female
417,S,2nd,female
419,S,3rd,female
421,Q,3rd,male
423,S,3rd,female
426,S,2nd,female
427,S,2nd,female
429,S,3rd,male
430,S,1st,male
431,S,3rd,female
433,S,3rd,male
435,S,1st,female
437,S,2nd,female
438,S,1st,male
442,S,3rd,male
444,S,3rd,male
445,S,1st,male
446,S,2nd,female
448,C,3rd,female
449,S,1st,male
450,S,2nd,male
454,S,3rd,male
455,C,3rd,male
459,Q,3rd,male
461,S,3rd,male
463,S,2nd,male
464,S,3rd,male
466,S,2nd,male
468,Q,3rd,male
469,C,3rd,female
470,S,3rd,male
472,S,2nd,female
473,C,2nd,female
478,S,3rd,male
480,S,3rd,male
486,S,1st,female
488,S,3rd,male
490,S,3rd,male
497,S,3rd,male
498,S,1st,female
499,S,3rd,male
502,Q,3rd,female
504,S,1st,female
507,S,1st,male
508,S,3rd,male
509,S,3rd,male
510,Q,3rd,male
512,S,1st,male
514,S,3rd,male
515,S,1st,male
517,Q,3rd,male
525,Q,3rd,male
528,S,3rd,male
534,S,3rd,female
536,S,1st,male
537,C,1st,female
539,C,1st,female
540,S,1st,female
541,S,3rd,female
543,S,2nd,male
544,C,1st,male
546,S,2nd,female
547,C,2nd,male
548,S,3rd,male
550,C,1st,male
551,S,2nd,male
552,Q,3rd,male
554,S,3rd,female
555,S,1st,male
556,C,1st,female
559,S,3rd,female
560,Q,3rd,male
562,S,2nd,male
565,S,3rd,male
568,C,3rd,male
569,S,3rd,male
571,S,1st,female
574,S,3rd,male
575,S,3rd,male
576,S,2nd,female
577,S,1st,female
579,S,3rd,male
581,C,1st,female
582,S,2nd,male
584,C,3rd,male
586,S,2nd,male
589,S,3rd,male
590,S,3rd,male
591,C,1st,female
593,Q,3rd,female
594,S,2nd,male
595,S,3rd,male
598,C,3rd,male
599,C,1st,male
600,S,2nd,female
601,S,3rd,male
602,S,1st,male
604,C,1st,male
605,S,3rd,male
606,S,3rd,male
607,S,1st,male
608,C,2nd,female
610,S,3rd,female
611,S,3rd,male
613,Q,3rd,male
616,S,3rd,male
617,S,3rd,female
621,S,1st,male
622,C,3rd,male
623,S,3rd,male
624,S,3rd,male
628,S,3rd,male
629,Q,3rd,male
630,S,1st,male
633,S,1st,male
636,S,3rd,male
637,S,2nd,male
639,S,3rd,male
640,S,3rd,male
641,C,1st,female
645,C,1st,male
649,S,3rd,female
651,S,2nd,female
659,C,1st,male
660,S,1st,male
661,C,3rd,male
662,S,1st,male
663,S,3rd,male
664,S,3rd,male
665,S,2nd,male
667,S,3rd,male
668,S,3rd,male
670,S,2nd,female
673,S,2nd,male
675,S,3rd,male
677,S,3rd,female
679,C,1st,male
682,S,3rd,male
684,S,2nd,male
685,C,2nd,male
687,S,3rd,male
689,S,1st,female
690,S,1st,male
